credit_utilization,open_accounts,missed_payments,monthly_rent,active_subscriptions,race,credit_score
42.45071229516849,2,2,8205.679642382156,2,B,552.5570950260242
32.92603548243223,2,0,7069.872067690807,0,B,658.1188226052261
44.715328071510385,7,0,25993.59139044095,4,A,593.519104887756
57.84544784612038,5,0,10966.29634393126,1,B,612.49226586654
31.48769937914996,8,2,8112.37765031459,2,C,600.9576774860151
31.48794564576229,7,0,6843.424446490174,0,B,695.0044815028175
58.688192232610874,5,0,13218.16363986593,2,A,560.5333836080267
46.51152093729363,4,2,5390.206101475504,2,C,555.960294528118
27.957884210975717,3,0,5000.0,1,A,631.478101451629
43.13840065378947,9,0,5000.0,0,B,673.6602442432153
28.048734607813067,4,1,15502.33547139141,1,A,681.9287075997391
28.014053696446148,8,0,15104.91426649454,3,A,694.2708486284236
38.629434073490515,4,1,8777.211606520274,3,C,614.895697161178
6.300796330133032,2,0,6123.367503087792,0,B,702.0337922646926
9.126232512304508,2,0,6156.421983410415,2,C,676.7140636032715
26.56568706138541,5,1,22494.647661001072,0,C,661.5464773342995
19.807533194983645,8,1,7743.425014386568,3,C,661.7814372403509
39.71370998892911,5,2,9619.258302978376,0,B,587.7845585061302
21.379638867181832,6,1,6502.955062581421,2,A,639.5288241992456
13.815444479970624,3,0,8477.819734142753,2,B,660.8927776101324
56.98473153382331,5,1,9788.1621153995,3,C,559.327409923014
31.613355492701967,8,1,19992.81852744952,3,A,625.6265861803677
36.012923070318855,4,0,7758.374391714361,0,C,658.5536325367867
13.628777206798148,5,1,10491.63837608794,2,C,632.4061781270552
26.83425913212226,1,0,6777.387453589336,2,B,644.8996485627835
36.663838845647994,5,0,8893.69124931272,4,C,627.0723603496576
17.735096338665457,6,0,9613.657994497411,2,C,734.1124466496469
40.63547027518508,3,0,7315.446452903035,1,C,660.4544519041048
25.990419651217927,6,2,9122.035941585136,3,B,589.7992626062812
30.624593753100847,5,1,5683.81707662974,4,A,613.5838436172779
25.974400816559047,5,0,10418.710901200438,1,C,684.3419819940052
62.78417276763407,6,2,8331.622031927207,3,A,519.7072214905801
34.79754162893099,6,2,6147.502347709852,2,A,580.4471425227996
19.1343360656615,7,2,7641.073824005714,3,B,643.4248407956146
47.338173681547836,6,0,15579.917713237079,2,C,647.7073182377761
16.687345250434667,5,2,7690.400476605372,3,C,629.6773188370463
38.132953925071334,6,1,10034.707126468906,4,B,602.8638392300137
5.604948141803367,6,0,10019.990521668133,2,A,715.0779390252898
15.077209266523543,5,3,10828.076211108655,1,B,597.0381944854742
37.952918538036855,10,2,5000.0,3,C,633.051019265905
46.07699869993116,4,1,5000.0,1,A,601.7689415889605
37.57052421784956,8,0,5573.885597007463,5,A,639.8209804369995
33.265275764176394,6,0,10975.74708850336,1,A,679.35894441491
30.483444566160667,4,0,9237.04366864436,2,A,716.2859481994926
12.82217014448859,5,1,9007.974208046739,2,C,718.285348663311
24.20233687407937,4,2,7627.772487648429,1,A,632.5964980267618
28.090418435603187,6,3,5000.0,3,B,568.7643506342357
50.856833393283736,2,0,6001.773808965783,1,A,619.2767997431253
40.15427434352692,2,1,9005.434292841015,2,A,584.5015258427521
8.554397669558991,9,1,7441.038569570933,5,B,686.9275670679807
39.86125954092193,1,2,8860.284537187596,4,A,563.8373477547476
29.223765793755252,3,2,5000.0,0,B,622.5286570682008
24.84616999541062,4,1,8049.759598646141,1,C,649.9767309800435
44.175144332613016,3,0,5000.0,3,A,617.3906492475869
50.46499283743926,2,0,5000.0,1,C,625.3376922926342
48.96920178674298,6,0,5000.0,2,A,588.3145462844554
22.41173715166042,2,1,5000.0,1,C,648.4039733824318
30.36181436223178,7,0,5427.392718073412,2,C,646.9760373469153
